unit_number,time_in_cycles,actual_RUL,predicted_RUL,error,sensor_14_roc,sensor_2_roc,risk_level
1,1,191,124.95529,-66.04470825195312,0.0,0.0,Low
1,2,190,120.263405,-69.7365951538086,-7.130000000000109,0.32999999999992724,Low
1,3,189,120.51981,-68.48018646240234,1.7399999999997817,0.20000000000004547,Low
1,4,188,124.13994,-63.86006164550781,0.6000000000003638,0.0,Low
1,5,187,121.32772,-65.67227935791016,-0.02999999999974534,0.01999999999998181,Low
1,6,186,123.44579,-62.55420684814453,-0.9499999999998181,-0.2699999999999818,Low
1,7,185,123.22268,-61.777320861816406,-0.5300000000006548,0.37999999999999545,Low
1,8,184,119.28756,-64.71244049072266,-1.25,0.07999999999992724,Low
1,9,183,122.878456,-60.121543884277344,-5.380000000000109,-0.4399999999999409,Low
1,10,182,122.15874,-59.84126281738281,3.6900000000005093,-0.40999999999996817,Low
1,11,181,121.071106,-59.92889404296875,11.199999999999818,0.5699999999999363,Low
1,12,180,121.86875,-58.131248474121094,-6.329999999999927,-0.22000000000002728,Low
1,13,179,121.89549,-57.10450744628906,-6.149999999999636,1.0100000000001046,Low
1,14,178,118.0528,-59.94719696044922,6.329999999999927,-0.7200000000000273,Low
1,15,177,121.948616,-55.05138397216797,-6.869999999999891,0.07999999999992724,Low
1,16,176,122.06964,-53.93035888671875,8.549999999999272,-0.2999999999999545,Low
1,17,175,119.57607,-55.423927307128906,1.160000000000764,0.4500000000000455,Low
1,18,174,119.310135,-54.68986511230469,-4.540000000000873,0.03999999999996362,Low
1,19,173,118.74757,-54.25243377685547,-3.5999999999994543,-0.8300000000000409,Low
1,20,172,118.63714,-53.36286163330078,0.5799999999999272,1.25,Low
1,21,171,119.88049,-51.1195068359375,4.3100000000004,-0.6699999999999591,Low
1,22,170,120.06106,-49.938941955566406,-3.610000000000582,0.39999999999997726,Low
1,23,169,123.55003,-45.44996643066406,-2.5100000000002183,-0.6299999999999955,Low
1,24,168,121.883194,-46.11680603027344,5.980000000000473,0.2400000000000091,Low
1,25,167,120.24053,-46.75946807861328,2.7299999999995634,0.38999999999998636,Low
1,26,166,117.350555,-48.649444580078125,-5.460000000000036,-0.6100000000000136,Low
1,27,165,119.724434,-45.27556610107422,3.4500000000007276,0.2800000000000864,Low
1,28,164,120.14376,-43.856239318847656,-7.300000000000182,-0.09000000000003183,Low
1,29,163,120.79103,-42.20896911621094,5.760000000000218,-0.44000000000005457,Low
1,30,162,121.342834,-40.65716552734375,4.799999999999272,0.2900000000000773,Low
1,31,161,120.557465,-40.442535400390625,-12.579999999999927,-0.18000000000006366,Low
1,32,160,121.10456,-38.89543914794922,4.420000000000073,0.3100000000000591,Low
1,33,159,122.04227,-36.957733154296875,4.720000000000255,0.37999999999999545,Low
1,34,158,120.49926,-37.50074005126953,-7.8100000000004,-0.17000000000007276,Low
1,35,157,115.565636,-41.434364318847656,13.5600000000004,-0.09999999999990905,Low
1,36,156,120.85398,-35.146018981933594,-7.690000000000509,0.09999999999990905,Low
1,37,155,120.639206,-34.36079406738281,-0.5299999999997453,-0.5499999999999545,Low
1,38,154,123.84265,-30.1573486328125,4.6599999999998545,-0.06000000000005912,Low
1,39,153,122.53396,-30.466041564941406,-4.799999999999272,0.08000000000004093,Low
1,40,152,124.95177,-27.048233032226562,-0.7800000000006548,0.2300000000000182,Low
1,41,151,124.99688,-26.00312042236328,7.050000000000182,0.15999999999996817,Low
1,42,150,123.37979,-26.620208740234375,-7.199999999999818,-0.2799999999999727,Low
1,43,149,125.791954,-23.208045959472656,-3.6599999999998545,0.12000000000000455,Low
1,44,148,122.5069,-25.49310302734375,4.229999999999563,-0.3100000000000591,Low
1,45,147,120.23174,-26.76825714111328,-3.139999999999418,0.6000000000000227,Low
1,46,146,117.867645,-28.132354736328125,0.3999999999996362,-0.10000000000002274,Low
1,47,145,119.36352,-25.63648223876953,-2.5,-0.2199999999999136,Low
1,48,144,117.04896,-26.95104217529297,3.7799999999997453,-0.32000000000005,Low
1,49,143,118.06596,-24.934036254882812,5.489999999999782,0.34000000000003183,Low
1,50,142,114.504616,-27.495384216308594,-8.179999999999382,0.5399999999999636,Low
1,51,141,114.89481,-26.105186462402344,7.059999999999491,0.03999999999996362,Low
1,52,140,120.421616,-19.578384399414062,-1.5399999999999636,-0.049999999999954525,Low
1,53,139,121.03379,-17.966209411621094,1.5600000000004002,-0.14999999999997726,Low
1,54,138,120.495834,-17.504165649414062,-4.430000000000291,-0.19000000000005457,Low
1,55,137,121.277275,-15.722724914550781,4.150000000000546,-0.009999999999990905,Low
1,56,136,122.6953,-13.304702758789062,1.2999999999992724,0.08000000000004093,Low
